record_id,content_hash,semantic_content_hash,fiscal_year_from_content,agency_pseudonym,workflow_stage_from_content,schema_version,identity_agreement,duplicate_of,variant_of,data_role,ground_truth_status,in_research_scope,contamination,sensitivity,file_size_bytes,formula_cache_state,identity_collision
P1REG-0001,595054ee91f6319f4691101f27f7de18e83299cd68536a5e4be701ae0f2c861b,c9b5debb13e6394af4b12bafb1792e0729a404e9f142bb9c7b38bf9cdd68b3d2,2571,,,SYN/BIS1010-MINI/3SHEET,partial_match,,,UNASSIGNED,none,False,unassigned,synthetic,9646,no_formulas,False
P1REG-0002,835c08b5518e4d667a2de6fdb1319ebf853c22f652311f64cb8c5a72779a4b93,ed5c427b1d03fa50e57555f2b0fddf0d29538ad8cd3fe86d59077e3eff16a6fd,2570,,,P1OUT/4SHEET/PRECHECK,undetermined,,,UNASSIGNED,none,False,unassigned,synthetic,38740,no_cached_values,False
P1REG-0003,6c4fa583edbb4ba51be1c314cb6806fd7246fc83156a3a77aca09f13486d381f,47379d2701c87ccfd00ec27f256b6e82ca9b7c05c4f21b90892eb66b36a94555,2570,,,P1OUT/4SHEET/PRECHECK,undetermined,,,UNASSIGNED,none,False,unassigned,synthetic,54016,fully_cached,False
P1REG-0004,d97d87c406b79a45507e08eb69736a5fd1d2cd08201a58275d926d5d283a6930,8ee72a1ef0485aca15d0508813ee68cb5f2b15609f66efc3ef49f4fb56f3dbe0,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,9211,no_formulas,False
P1REG-0005,76dfa61aadcafc24216d20c53f07dc740ab7c9e0eb69e64aa0564018a5c1fd03,a2ce79d040a372d61c4189f0abed0a0a3430bb214d89953f23a53aceed704404,,,,VALOUT/FINDINGS/2SHEET,undetermined,,,UNASSIGNED,none,False,unassigned,tool_output_from_synthetic,9638,no_formulas,False
P1REG-0006,32971f95dbb7ab96ab31dd650b39dde42009756c2fa77bc6189afb6fc856f5b6,c3d58eb1fcfc1f7842e2cc58eb316d12e5d6a370830210be85a1aca547cf532c,2568,A4,,P1OUT/6SHEET/README-FIRST,match,,,UNASSIGNED,none,True,unassigned,real_agency_data,36600,no_cached_values,False
P1REG-0007,26b8e522b96c7bd372c1a92f9d1ce48d8e20abc313dd7114c461dd4041d048c2,586a364e133dc5b50da4e3affbfed2040d03451a22a4dcd7190423c24ff1b9ae,2569,A2,,P1OUT/6SHEET/README-FIRST,mismatch,,,UNASSIGNED,none,False,unassigned,real_agency_data,606212,fully_cached,True
P1REG-0008,2397f8230e9a56422bee186803079f868e620ec2f62962fb25327d7c013bf145,4c9d00a71df5436cf6577d5e193dc37ed1f152cf3620c34bc88368070d6687be,2569,A4,,P1OUT/6SHEET/README-FIRST,match,,,UNASSIGNED,none,True,unassigned,real_agency_data,39351,no_cached_values,False
P1REG-0009,00367a93a5ba5795343fb4c3bedf2ef45b39dedb1d41d8167b5d44f75857cabb,52f0711cb65968a80659f2805fea7191eb1db4b05299a3f8691e7a29734c6eba,2569,A2,bb_officer_3_1,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,False,unassigned,real_agency_data,523974,fully_cached,False
P1REG-0010,7215987dcbfd1114a5271df4a642f98e6b103733ec45af86f76e66ff30358ba1,f63d790df6cd3f04cc8ced0e09c4cd6572e49c928243142efb98ae6f23326b09,2570,A2,req_ministry_2_5,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,False,unassigned,real_agency_data,307791,partially_cached,True
